ID	city	english
6DGQ44VHUBHJ	Anatuya	Anatuya
6DH38UVM1977	Firmat	Firmat
6DHGRH6FYBBJ	Arroyo Seco	Arroyo Seco
6DHM6CVWF7HE	卡尼亞達－德戈麥斯	Cañada de Gómez
6DHS006ZBBHX	凱西爾達	Casilda
6DHT06TE2DEG	Carcarana	Carcarana
6DHU30Y4TN44	Perez	Perez
6DHUH54CRH54	Gobernador Galvez	Gobernador Galvez
6DHUS45YC7VC	羅薩里奧	Rosario
6DHV46DG4DZB	Granadero Baigorria	Granadero Baigorria
6DHV62F47UJJ	Capitan Bermudez	Capitan Bermudez
6DJ4GPJ60J51	孔斯蒂圖西翁鎮	Villa Constitución
6DJ4ME3M42HB	濱河聖尼古拉斯	San Nicolás de los Arroyos
6DJG6QU02TQT	瓜萊瓜伊	Gualeguay
6DJNRNH8H003	維多利亞	Victoria
6DK3YCHPYX6D	加爾韋斯	Gálvez
6DK4837P3321	San Jorge	San Jorge
6DKCS4KRXGFM	Diamante	Diamante
6DKDJEX9CMF9	Coronda	Coronda
6DKGC7BP1V78	Santo Tome	Santo Tome
6DKGQXRGVHP9	巴拉那	Parana
6DKPZNU3CSBE	Sunchales	Sunchales
6DKQ0Z4C8H6B	拉斐拉	Rafaela
6DKTJ6YV7YFW	埃斯佩蘭薩	Esperanza
6DKU49RDE2NF	聖菲	Santa Fe
6DM1G9Q54U6E	Crespo	Crespo
6DMRZW0KWY69	Santa Elena	Santa Elena
6DNKHQV43VW4	瓜萊瓜伊丘	Gualeguaychú
6DNX4Y8ZY2U9	烏拉圭河畔康塞普西翁	Concepción del Uruguay
6DQ48Z1GJV8X	比亞瓜伊	Villaguay
6DQPYKGK4FB6	Federal	Federal
6DQTRTN6Z217	康科迪亞	Concordia
6DSBV5N26DME	San Justo	San Justo
6DT6H1RP65H4	San Javier	San Javier
6DT94EP672S6	拉巴斯	La Paz
6DTTM2J95YTM	埃斯基納	Esquina
6DV0MV4E0S9K	Vera	Vera
6DVD4TKHYNNU	Reconquista	Reconquista
6DVD67Q1EGVK	Avellaneda	Avellaneda
6DVF5RNR40WY	Goya	Goya
6DVVCQ4BHV3G	Villa Ocampo	Villa Ocampo
6DWC0DH92YU7	Chajari	Chajari
6DWWWBTFTY8X	庫魯蘇誇蒂亞	Curuzu Cuatia
6DX5BKW81F0F	Monte Caseros	Monte Caseros
6DXQUYUKSDY6	Paso de los Libres	Paso de los Libres
6DY9YRS5Q7HB	梅塞德斯	Mercedes
6DYPYWWCJCW8	San Lorenzo	San Lorenzo
6DYR3BTCMNXT	Saladas	Saladas
6E17FVV4S95B	Aguilares	Aguilares
6E1GS1F1FSJS	Termas de Rio Hondo	Termas de Rio Hondo
6E1MMW3D66P3	Monteros	Monteros
6E1QPDYY2BKQ	Famailla	Famailla
6E1W1ZPTYQJN	Bella Vista	Bella Vista
6E1X3WJVE4WD	Yerba Buena	Yerba Buena
6E1X7UF651WQ	聖米格爾-德圖庫曼	San Miguel de Tucuman
6E1XFVXDY0NV	塔菲別霍	Tafí Viejo
6E1XMY5ME6S6	Alderetes	Alderetes
6E43CSN1WZB0	聖地牙哥－德爾埃斯特羅	Santiago del Estero
6E96ZXBETV7G	薩爾塔	Salta
6E9W65S06Z71	聖薩爾瓦多-德胡胡伊	San Salvador de Jujuy
6E9WH04RFBDF	Palpala	Palpala
6E9Y5UVFT7FU	San Pedro	San Pedro
6ECBTDPJKMBT	Libertador General San Martin	Libertador General San Martin
6ED373XPH06S	Joaquin V. Gonzalez	Joaquin V. Gonzalez
6EF7VQYTVUK5	恩巴凱西翁	Embarcación
6EFK2HZKBP85	奧蘭	Orán
6EFX7YT17Y6P	General Enrique Mosconi	General Enrique Mosconi
6EFXUJJ29WQQ	塔塔加爾	Tartagal
6EHG4KK6ZCSC	安赫拉鎮	Villa Ángela
6EHKT7NUFGVF	General Pinedo	General Pinedo
6EHMPTU29RVE	查拉塔	Charata
6EHTFH3XR30V	Las Brenas	Las Brenas
6EJP8EVUFC6B	羅克薩恩斯培尼亞總統城	Presidencia Roque Sáenz Peña
6EJPJSX7YPK6	Quitilipi	Quitilipi
6EJQCD1PZG9Y	Machagai	Machagai
6EKUKSD0ZZXF	Castelli	Castelli
6EM40UFDW9J4	Tres Isletas	Tres Isletas
6EMC19HB2BRX	General Jose de San Martin	General Jose de San Martin
6EMVWGW3CR4B	Pirane	Pirane
6EN5CBCNXSX4	雷西斯滕西亞	Resistencia
6EN5DUU7BX34	Barranqueras	Barranqueras
6EN5TJQ3FHU5	科達特斯	Corrientes
6EN7E83FU7G0	San Luis del Palmar	San Luis del Palmar
6ENH0BSJG1BV	Fontana	Fontana
6EQEH4EBZ4ER	福莫薩	Formosa
6FBJSF8RERU3	Santo Tome	Santo Tome
6G00KVTUBV1W	Gobernador Ingeniero Valentin Virasoro	Gobernador Ingeniero Valentin Virasoro
6G079T47MJVQ	Garupa	Garupa
6G0G9SNUK22Q	奧韋拉	Oberá
6G0K21CXNYMF	波薩達斯	Posadas
6G0VYG3BBKWQ	Aristobulo del Valle	Aristobulo del Valle
6G0WPKBUQJKR	Jardin America	Jardin America
6G0ZECUWP7K1	Puerto Rico	Puerto Rico
6G1KWWMWVNHX	El Soberbio	El Soberbio
6G30CGZ0TMMK	蒙特卡洛	Montecarlo
6G31G2KXF9XB	Puerto Eldorado	Puerto Eldorado
6G3884T69UYU	San Vicente	San Vicente
6G3889X7NQMN	San Pedro	San Pedro
6G3H5BH69M4B	Puerto Esperanza	Puerto Esperanza
6G3NQ5UF246G	伊瓜蘇港	Puerto Iguazú
2JQWG8F0R2XN	帕果帕果	Pago Pago
U0QUDQW880QG	費爾德基希	Feldkirch
U0QVGC9NGT55	盧斯特瑙	Lustenau
U0QVTRZQHSRD	多恩比恩	Dornbirn
U0QYJZ9TEVKD	布雷根茨	Bregenz
U22HG7CKBN8F	因斯布魯克	Innsbruck
U22WSY72ZZNX	庫夫施泰因	Kufstein
U23C5M1S81Z8	菲拉赫	Villach
U23D5PWMUB1S	德勞河畔施皮塔爾	Spittal an der Drau
U23JU3G9HN75	Saalfelden am Steinernen Meer	Saalfelden am Steinernen Meer
U23R607PS15U	哈萊因	Hallein
U23RBVD7FBPZ	薩爾茨堡	Salzburg
U261JXBB9NJU	克拉根福	Klagenfurt
U26D3Z14N1RQ	沃爾夫斯貝格	Wolfsberg
U26GZ84R5P4B	格拉茨	Graz
U26TX9G7ZT05	萊奧本	Leoben
U26VUJ00XYWR	卡普芬貝格	Kapfenberg
U27RKYKGU19J	泰爾尼茨	Ternitz
U27XCV8ZHMWH	維也納新城	Wiener Neustadt
U292BGY23UP9	Ansfelden	Ansfelden
U2968BCCJYQK	因河畔布勞瑙	Braunau am Inn
U29FP26Z0Q3Q	威爾斯	Wels
U2D321VJPZY7	施泰爾	Steyr
U2D47GMK1FPW	特勞恩	Traun
U2D4SM4CMGQY	萊昂丁	Leonding
U2D4V1FV47XD	林茨	Linz
U2D9F2T80N7S	阿姆施泰滕	Amstetten
U2E45WXC6GRT	聖珀爾滕	Sankt Pölten
U2E56FZW6Q71	Weinzierl bei Krems	Weinzierl bei Krems
U2E57K9UH4F1	多瑙河畔克雷姆斯	Krems an der Donau
U2E917H5ZUKU	巴登	Baden
U2E94UB6U0BQ	特賴斯基興	Traiskirchen
U2E9D9V3W149	默德靈	Mödling
U2E9YDQSVPNR	施韋夏特	Schwechat
U2EDG3XWJPY3	克洛斯特新堡	Klosterneuburg
U2EDK81FC1E8	維也納	Vienna
Q9GBF9Q5E10D	奧爾巴尼	Albany
QD44R7CE7CKC	班伯里	Bunbury
QD4QBF6NT26S	曼杜拉	Mandurah
QD62D34DNUM8	Kwinana	Kwinana
QD63RXKT5FJJ	戈斯內爾斯	Gosnells
QD63TU108R7S	坎寧韋爾	Canning Vale
QD667FEQB5TS	珀斯	Perth
QDCKRG1NJ801	傑拉爾頓	Geraldton
QDW3H41K62X9	卡爾古利	Kalgoorlie
QGZ1NTDC7XX5	愛麗斯泉	Alice Springs
QS73C2TBK6MC	羅伯恩	Roebourne
QSKK6QEMDM8D	黑德蘭港	Port Hedland
QVV0UWGPSM0T	帕默斯頓	Palmerston
QVV117S0EVJ2	達爾文	Darwin
R0XY2KJ32FH9	伯恩	Burnie
R1BD7X6JR6YK	林肯港	Port Lincoln
R1F80H0V80MV	Morphett Vale	Morphett Vale
R1F93BT6W5P5	阿德萊德	Adelaide
R1F9KKEEESD1	Adelaide Hills	Adelaide Hills
R1FEHVQ83HCU	Gawler	Gawler
R1G01P4YS6QT	默里布裡奇	Murray Bridge
R1JMDK90YKS2	瓦南布林	Warrnambool
R1K0G0XHUURX	芒特甘比爾	Mount Gambier
R1NWVP80ZZ61	季隆	Geelong
R1NXHF03NZVU	Geelong West	Geelong West
R1PNS6F5C2JM	Mornington	Mornington
R1PPND4C5XZH	Frankston East	Frankston East
R1PR60056VDG	克藍本	Cranbourne
R1Q633K0CV1N	巴拉蘭特	Ballarat
R1QBKXXT97VK	霍珀森	Hoppers Crossing
R1QCD5FQETZQ	麥爾登	Melton
R1QCR08RXVRC	Saint Albans	Saint Albans
R1QFJQPT5PY5	森伯裡	Sunbury
R1QWG4ZFT5UY	本迪戈	Bendigo
R1R07UR82122	Brighton East	Brighton East
R1R0E47VJZUJ	聖基爾達	St Kilda
R1R0FSPJ6PSM	墨爾本	Melbourne
R1R0KYE6KPDG	卡內基	Carnegie
R1R0QG9EQH13	Notting Hill	Notting Hill
R1R0S928PU60	East Malvern	East Malvern
R1R0SGC9ZCD7	葛籣伊裡斯	Glen Iris
R1R0TPH61FY8	坎伯韋爾	Camberwell
R1R14UC90Q7W	布勞恩斯魏克	Brunswick
R1R1J8QH7CM3	Balwyn North	Balwyn North
R1R1TBHF9T6U	Greensborough	Greensborough
R1R2217RMHJ1	Mulgrave	Mulgrave
R1R26R2FHJ4B	Ferntree Gully	Ferntree Gully
R1R447JK5SRE	克萊基伯恩	Craigieburn
R1VJ6WN6WCTZ	米爾迪尤拉	Mildura
R1WFMY5SP6YU	伊丘卡	Echuca
R1X3H8T59RT8	謝珀頓	Shepparton
R1ZUGNFJPH72	格里菲斯	Griffith
R22U0D4185BN	荷巴特	Hobart
R28JF3BFF21U	德文波特	Devonport
R28SHY780PB0	朗塞斯頓	Launceston
R30NY2YMCZNQ	特拉拉恭	Traralgon
R386W3JJJSVV	沃東加	Wodonga
R386XPJRQS4S	阿爾伯裡	Albury
R3BB1RJNS62V	沃加沃加	Wagga Wagga
R3DNGUSRKFC2	昆比恩	Queanbeyan
R3DP32ZDZYD2	坎培拉	Canberra
R3F6QCUQE6KP	古爾本	Goulburn
R3G1DCXTF7Z9	瑙拉	Nowra
R3GK17TGK3VG	伍倫貢	Wollongong
R3GPU8D5109Y	Glenmore Park	Glenmore Park
R3GQHQQGR29E	Engadine	Engadine
R3GQR17UMU5S	Caringbah	Caringbah
R3GQR92H6HHK	克羅納拉	Cronulla
R3GQY7EDVM4E	Earlwood	Earlwood
R3GR4SDQ1TDG	Liverpool	Liverpool
R3GRFHYNVK6Z	布萊克敦	Blacktown
R3GRPCSJNF06	Marrickville	Marrickville
R3GRS2YFX699	格蘭維爾	Granville
R3GRS5FGE5BX	City of Parramatta	City of Parramatta
R3GRV4N3TFEB	卡靈福德	Carlingford
R3GRVGY7TYEZ	埃平	Epping
R3GRWZMRSCCD	北賴德	North Ryde
R3GWC7SFBJJ7	馬魯布拉	Maroubra
R3GX19DV4644	蘭德威克	Randwick
R3GX2F9C3YYR	悉尼	Sydney
R3GX93UFBHMK	莫斯曼區	Mosman
R41U4F3NGVHV	懷阿拉	Whyalla
R41ZNZ1Y29JJ	奧古斯塔港	Port Augusta
R4KD4RSTG81S	布洛肯希爾	Broken Hill
R638TC565KK2	達博	Dubbo
R643GU9MBT1H	巴瑟斯特	Bathurst
R6448UG6VF7C	奧倫奇	Orange
R64BHMD2PGRY	卡通巴	Katoomba
R65217JCH7TB	Quakers Hill	Quakers Hill
R652H54C5588	Castle Hill	Castle Hill
R652Q2EJHFPN	霍恩斯比	Hornsby
R6584BJ21850	Dee Why	Dee Why
R65THNCSNB01	塞斯諾克	Cessnock
R65UTVB32NJT	紐卡斯爾	Newcastle
R67R4D6M3EFC	Tamworth	Tamworth
R6EF6US5SBRK	阿米代爾	Armidale
R6HJURC0RZDE	Port Stephens	Port Stephens
R6K3N85PXCDX	Forster	Forster
R6K6T2YC50BZ	塔里	Taree
R6KTPTWX8DQU	麥克誇利港	Port Macquarie
R6KTR77EZMYW	North Shore	North Shore
R6SGSSH39NZ9	科斯港	Coffs Harbour
R6SZ03QBCNXC	South Grafton	South Grafton
R6UUPFTHGYV4	利斯莫爾	Lismore
R6VPMZCZ2PM6	Banora Point	Banora Point
R7G4BXNY0PT9	羅克漢普頓	Rockhampton
R7G83F0ZSMY0	Gladstone	Gladstone
R7H560DV85VY	圖文巴	Toowoomba
R7HDUV1UUPDY	Booval	Booval
R7HFU06YHMQ0	洛根市	Logan
R7HG4DXE7W9E	Sunnybank	Sunnybank
R7HG9UZ3FXVW	South Brisbane	South Brisbane
R7HGDPXESVNC	布里斯班	Brisbane
R7HGEBTXPRNV	Carindale	Carindale
R7HUD71F25M3	Bracken Ridge	Bracken Ridge
R7HV627KWBM9	Deception Bay	Deception Bay
R7HVBMWU1JRG	卡布林徹	Caboolture
R7HZS9HQ9NPD	卡拉德拉	Caloundra
R7J0C1VCM90N	奈蘊	Nerang
R7J0EQY8PVDN	黃金海岸	Gold Coast
R7J0FSY6QGJC	紹斯波特	Southport
R7KB4WRW7D9D	布德林姆	Buderim
R7KBHQ2NKFXD	Mooloolaba	Mooloolaba
R7KUESQ02HB0	Rainbow Beach	Rainbow Beach
R7KWDZB9XF47	馬里伯勒	Maryborough
R7S6DU1YK2NP	班德堡	Bundaberg
R7S8NT61GT6P	Torquay	Torquay
RH74N3SG9E5J	伊薩山市	Mount Isa
RHZXV02J32JU	凱恩斯	Cairns
RK4PEJU07FJP	麥凱	Mackay
RK86KX8KXGZV	湯斯維爾	Townsville
D6NPNRZV7ZJ4	奧拉涅斯塔克	Oranjestad
D6NPR3XEYNNC	Babijn	Babijn
D6NR0NXFYUMU	Angochi	Angochi
U6WJVSK5FV0R	瑪麗港	Mariehamn
TNBR13U0M6TT	納希切萬	Nakhchivan
TNFFB0TWM9GK	阿斯塔拉	Astara
TNFRP3YSWHWG	Dzhalilabad	Dzhalilabad
TNFSRX5BJCQK	連科蘭	Lankaran
TNGPBXUEPKUH	Neftcala	Neftcala
TP0YVUWHJ41V	漢拉爾	Goygol
TP0ZQYNDRK5C	占賈	Gǝncǝ
TP14PVCSX1ER	Shusha	Shusha
TP14XBS6GJN6	Stepanakert	Stepanakert
TP17EB5KNZ0D	阿格達姆	Agdam
TP1GB52K6E65	Ağcabǝdi	Ağcabǝdi
TP1MEBSDDMK9	泰爾泰爾區	Terter
TP1RYUGENRP3	明蓋恰烏爾	Mingecevir
TP1T8MUW5HBV	巴爾達	Bǝrdǝ
TP1X0FMDVGEU	Yevlakh	Yevlakh
TP1YS2K8RUZC	烏賈雷	Ujar
TP1Z22553T8E	Ağdaş	Ağdaş
TP1ZQ2ET5XUF	Göyçay	Göyçay
TP23B2F9GPBV	Qazax	Qazax
TP28R0VFMG7Q	Şǝmkir	Şǝmkir
TP3D36U83WNJ	Şǝki	Şǝki
TP3HV7HTK77T	紮卡塔雷	Zaqatala
TP44VDK1N59E	伊米什利區	Imishli
TP46V7EN4FVU	Ahmadbayli	Ahmadbayli
TP47X56XBZUM	薩比拉巴德	Sabirabad
TP482XJMKMQN	Pushkino	Pushkino
TP4C4XF9998R	薩利揚區	Salyan
TP4G1QKXJBEG	希爾凡	Şirvan
TP4GCC0QCC8D	Qazımǝmmǝd	Qazımǝmmǝd
TP4QV3S6YPCN	Ağsu	Ağsu
TP4X4UEX459E	沙馬基區	Shamakhi
TP5M7SDYEQ13	Lökbatan	Lökbatan
TP5MXQD2BP5P	巴庫	Baku
TP5PPER2P33H	Haci Zeynalabdin	Haci Zeynalabdin
TP5QFJPS62XF	蘇姆蓋特	Sumqayit
